Customer Lvl4,C03 - Sector,Cost_Actual_Amount,Heacount_Essbase,Revenue_Actual_Amount
Eur Bank CapMkt LifeProp Sales,Europe,2603484,85,0
Europe Telecom Media Util Sale,Europe,2375928,85,12916
Banking Capital Markets Admin,Financial Service + Healthcare,34096388,84,0
Fluor Corp,Consumer and Industrials,7264978,84,8288367
PG+E Corporation,Consumer and Industrials,4898651,84,5353104
Banner,ITS,-4610,83,0
Mondelez International,Consumer and Industrials,3446304,82,3212534
Nevada HIX,Government,363695,81,0
Philly Sweep,Transportation,2401321,80,2911379
SEPTA,Transportation,63974070,80,50255393
Baxalta,Consumer and Industrials,4047599,79,3893215
Catholic Healthcare Prtners,Consumer and Industrials,3714849,79,4351993
LA County Sherriff TP,Transportation,2904602,79,4283161
LA Express Park,Transportation,4314179,78,5076131
DelDOT Red Light Photo,Transportation,7329839,76,8859603
Retail Travel + Logistics Adm,Consumer and Industrials,3034564,76,-2059
Advantage,ITS,0,75,0
Public Health Admin,Government,1644251,75,0
Federal Gov't Sales,Government,1651473,72,0
HEB,Consumer and Industrials,5227194,72,6029095
LDM,ITS,0,72,0
SSA TTW BASS,Government,216896,72,205525
ULA,Consumer and Industrials,3853668,72,3268372
Credit Suisse Securities (USA),Financial Service + Healthcare,6835278,71,11448296
"Genworth Financial, Inc",Financial Service + Healthcare,23223,70,0
PE - Saudi ArabiaSAUc13,Transportation,3557257,70,2066932
PACE,ITS,19750,69,18421
New Jersey Surcharge,Transportation,8829405,65,9380757
Dallas Photo Enforcement,Transportation,3317868,64,3258673
MI SACWIS,Government,3899666,64,3321970
Europe Admin,Europe,-4317,62,0
Martin Marietta,Consumer and Industrials,2978464,60,3379940
HCPPL Administration,Europe,2236040,58,0
Aramark Corporation,Consumer and Industrials,7907979,56,10493909
Oklahoma ECC,Government,1391082,56,2723053
Philly Moving,Transportation,2131167,56,3877773
SLS,ITS,-6084,56,0
US - Tolls Coll,Transportation,6207641,56,5256713
Amtrak,Financial Service + Healthcare,1141866,55,2006978
Baltimore City ATVES,Transportation,562865,55,483047
HRS Small Customers,Consumer and Industrials,6678820,54,12607701
Newell Brands,Consumer and Industrials,2092398,54,1213664
Wyoming HIE,Government,3832873,54,4142641
S+L BPS Customers,Government,627429,53,927627
Student Lend+Report Small Cust,Government,1261525,53,1388241
"Conagra Foods, Inc",Consumer and Industrials,3540568,52,3084145
NCTA,Transportation,9339780,52,11619726
Learn Something,ITS,-21230,50,0
GovtHealthcare Sltn Small Cust,Government,788334,47,0
Suffolk County Red Light,Transportation,21214134,47,19243686
OMV,Consumer and Industrials,1290787,46,1184278
Chief Executive Officer,Conduent Corporate,152556,45,0
Eneco,Europe,40628,45,0
Tax Solutions - Legacy,Government,4047863,43,11988402
Client Apps+Platforms Other,Conduent Corporate,-26232,42,0
TS DMO ASIA PACTSDc13,Transportation,3827296,41,3286795
VA HHS,Government,6501778,41,8119435
Caiway,Europe,3379433,40,3519458
Domestic Other Telecom Small,Consumer and Industrials,-4573388,13,1795891
Domestic Other Telecom Small,Financial Service + Healthcare,81171,26,60069
Federal-Mogul Corp.,Consumer and Industrials,1901125,39,1828255
California MMIS Admin,Government,2307976,38,0
Providence Red Light,Transportation,2683784,37,2839757
Europe Telecom Media Util Adm,Europe,2422581,36,44
Texas CPA Comptroller,Government,1767511,36,2001329
ADT LLC,Consumer and Industrials,4512350,34,4049118
Payment Services Admin,Government,44465460,34,0
HiX,ITS,-63143,33,0
Oakland TP + PEO,Transportation,2501044,31,4637642
Massachusetts EBT,Government,5722838,30,8907130
State and Local Admin,Government,29316718,30,0
CPMT,ITS,-910831,29,0
Dominion Resources,Consumer and Industrials,4190125,29,4519199
CGI Group Inc,Financial Service + Healthcare,9167623,28,9958609
Constituent+Govt SW Sltn Cust,Government,1856633,28,2478537
CT DoIT,Government,7088779,28,7803421
Indiana EPC,Government,12178180,28,15763316
Iowa EBT,Government,2193231,28,3448118
Louisiana EBT,Government,4915811,28,7296362
Maryland EBT,Government,4517025,28,6257244
Michigan EBT,Government,8222471,28,10649517
Ohio ECC,Government,6033475,28,11317391
Pennsylvania EBT,Government,8855209,28,14259868
Prince George's Cnty Red Light,Transportation,5858580,28,6781625
SCUBI - SE Cons UI Bene Init,Government,3012599,28,4859070
South Carolina EBT,Government,3516778,28,5261820
St. Louis Parking,Transportation,11701153,28,11341898
Wilmington Red Light,Transportation,1759260,28,2531429
Barrick Global,Consumer and Industrials,235633,27,0
Pinnacle Bank,Financial Service + Healthcare,134306,27,140623
Maine EBT,Government,1965486,24,3749201
Oklahoma EPC,Government,12129944,24,13834206
Georgia EBT,Government,5841520,23,10158289
Home Depot Inc,Consumer and Industrials,439148,23,188590
Mississippi EBT,Government,2809593,23,4845685
Ohio EBT,Government,7000643,23,12318458
PM Other,Government,1243050,23,-2
Blue 2 Small Customer,Financial Service + Healthcare,2382973,21,2803259
Christus,Consumer and Industrials,4067771,21,4096685
CSES + Expert Pay Admin,Government,1052653,21,0
Dova Pharmaceuticals,Financial Service + Healthcare,105523,20,55405
Oklahoma UI,Government,3490504,20,4005940
Rx Delivery - OH,Government,2870542,20,3179858
Aerospace + Defense Small Cust,Consumer and Industrials,1519889,17,653797
Healthcare Provider Small Cust,Consumer and Industrials,1016869,8,772617
Healthcare Provider Small Cust,Financial Service + Healthcare,421616,9,1060410
No Customer,Conduent Corporate,-353166,17,-653843
Transit Internatnal Small Cust,Transportation,-17155190,12,-16871445
Lenovo,Consumer and Industrials,156553,11,68661
Indiana EBT,Government,3837204,9,5050298
Pfizer Inc,Financial Service + Healthcare,9000,9,0
St. Joseph Health System,Consumer and Industrials,4861140,9,4386584
The Kraft Heinz Company,Consumer and Industrials,1625597,9,2076954
Oregon Provider Credentialing,Government,126260,8,0
Industrial Small FAP Customers,Financial Service + Healthcare,-2400,7,0
Dana Corporation,Consumer and Industrials,2387768,6,2899047
"Citeweb3, Citeweb v4",ITS,-1026251,5,0
Virginia WIC,Government,1236107,5,2518886
Florida UI,Government,3261182,4,2809820
Auto Aerospace + Defense Admin,Consumer and Industrials,108247,3,0
ETC Orlando CSC,Transportation,-30894,3,0
New Jersey Transit,Transportation,32759939,3,36309267
Providence Ticket Processing,Transportation,1295204,3,2470544
San Francisco Red Light,Transportation,1633373,3,2601825
Texas ECC,Government,4187029,3,8170425
Media + Enter Small Cust,Consumer and Industrials,5756195,2,5448155
Office Depot,Financial Service + Healthcare,1000421,2,1953141
Professional Serv Small Cust,Financial Service + Healthcare,73712,2,89259
SPX Corp,Consumer and Industrials,2590870,2,2931449
Tolling Region 3 Sales,Transportation,2013174,2,0
WDS-Admin,Consumer and Industrials,0,2,0
Eli Lilly,Consumer and Industrials,25463800,1,24500095
Eliminations,Consumer and Industrials,57806,1,-8860
Food and Beverage Small Cust,Consumer and Industrials,-5018257,1,3219177
Johnson + Johnson,Consumer and Industrials,8330200,0,10641489
Johnson + Johnson,Financial Service + Healthcare,-11071,1,0
Montgomery Cty Photo Enforc,Transportation,18419558,1,20209147
Ben Wallet - BCM,Consumer and Industrials,1359917,0,1907482
Ben Wallet - Provider,Consumer and Industrials,150230,0,244970
Ben Wallet - State and Local G,Consumer and Industrials,96455,0,118005
